Name,Origin,Starting Affiliation,End of S1,End of S2,End of S3,End of S4,End of S5,End of S6,End of S7,Episodes
Black Walder Rivers,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,6
Qotho,Essos,Khal Drogo,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,6
Dontos Hollard,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,6
Anguy,House Baratheon,King Robert Baratheon,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,Brotherhood Without Banners,"Jon Snow, King in the North",6
High Septon,Westeros,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,High Sparrow,Deceased,Deceased,6
Bernadette,House Lannister,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,6
Night's Watch Officer,Westeros,Night's Watch,Night's Watch,Night's Watch,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,6
Viserys Targaryen,House Targaryen,Viserys Targaryen,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,5
Jory Cassel,House Stark,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,5
Lysa Arryn,House Arryn,King Robert Baratheon,House Arryn (Neutral),House Arryn (Neutral),House Arryn (Neutral),Deceased,Deceased,Deceased,Deceased,5
Mance Rayder,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,Deceased,5
Craster,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,Deceased,Deceased,Deceased,5
Doran Martell,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,5
Xaro Xhoan Daxos,Essos,Qarth,Qarth,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,5
Randyll Tarly,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,5
Robett Glover,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",5
Rickard Karstark,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",Deceased,Deceased,Deceased,Deceased,Deceased,6
Dagmer Cleftjaw,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands",Deceased,Deceased,Deceased,Deceased,Deceased,5
Lyanna Mormont,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros","Other, Westeros","Other, Westeros","Jon Snow, King in the North","Jon Snow, King in the North",5
Walda Bolton,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,5
Trystane Martell,House Martell,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,5
Steelshanks Walton,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,"Roose Bolton, Lord Paramount of the North",Deceased,Deceased,5
Archmaester Ebrose,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",4
Tycho Nestoris,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos",King Stannis Baratheon,"Other, Essos","Other, Essos",Queen Cersei Lannister,4
Balon Greyjoy,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands",Deceased,Deceased,4
Pyat Pree,Essos,Qarth,Qarth,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,4
Styr,Wildlings,Wildlings,Wildlings,Wildlings,Wildlings,Deceased,Deceased,Deceased,Deceased,4
Yezzan zo Qaggaz,Essos,Essos Slavers,Essos Slavers,Essos Slavers,Daenerys Targaryen,Sons of the Harpy,Sons of the Harpy,Daenerys Targaryen,Daenerys Targaryen,4
Karl Tanner,Westeros,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,4
Ilyn Payne,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,4
Marillion,House Baratheon,King Robert Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",4
Dickon Tarly,House Tyrell,King Robert Baratheon,King Renly Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Deceased,5
Qhorin Halfhand,Westeros,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,4
Lothar Frey,House Tully,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North",King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Deceased,Deceased,6
Rorge,Westeros,"Other, Westeros",Night's Watch,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,4
Lommy Greenhands,Westeros,Night's Watch,Night's Watch,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,4
Matthos Seaworth,House Baratheon,King Robert Baratheon,King Stannis Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,4
Armeca,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",4
Royal Steward,House Baratheon,King Robert Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Joffrey Baratheon,King Tommen Baratheon,King Tommen Baratheon,Queen Cersei Lannister,Queen Cersei Lannister,4
Black Lorren,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands",Deceased,Deceased,Deceased,Deceased,Deceased,4
Amory Lorch,House Lannister,King Robert Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,4
Biter,Westeros,"Other, Westeros",Night's Watch,King Joffrey Baratheon,King Joffrey Baratheon,Deceased,Deceased,Deceased,Deceased,4
Baby Sam,Wildlings,Wildlings,Wildlings,Wildlings,Night's Watch,Night's Watch,Night's Watch,Night's Watch,Night's Watch,4
The Night King,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,White Walkers,4
Timett,Westeros,"Other, Westeros",King Joffrey Baratheon,King Joffrey Baratheon,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",4
Izembaro,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",3
Lady Crane,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",3
Spice King,Essos,Qarth,Qarth,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,3
Three-Eyed Raven,Westeros,"Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros","Other, Westeros",Deceased,Deceased,5
Syrio Forel,Essos,King Robert Baratheon,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,Deceased,3
Harrag,House Greyjoy,King Robert Baratheon,"Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands","Balon Greyjoy, King of the Iron Islands",Daenerys Targaryen,Daenerys Targaryen,3
Salladhor Saan,Essos,"Other, Essos","Other, Essos",King Stannis Baratheon,"Other, Essos",King Stannis Baratheon,"Other, Essos","Other, Essos","Other, Essos",3
Greatjon Umber,House Stark,King Robert Baratheon,"Robb Stark, King in the North","Robb Stark, King in the North","Other, Westeros",Deceased,Deceased,Deceased,Deceased,3
Camello,Essos,"Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos","Other, Essos",3
